FID,network_name,station_name,region_name,station_id,station_eu_code,municipality_name,station_municipality,station_position,station_lat,station_lon,station_altitude,pollutant_id,pollutant_label,pollutant_notation,spo_local_id,spp_local_id,sam_local_id,data_record_start_time,data_record_end_time,data_record_value,observation_unit_notation,observation_unit_label,primary_observation_notation,primary_observation_label,data_record_id,sampling_point_id,row_id,flag_cur_snapshot,pollutant_level,measurement_type_label,measurement_method_label
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b66,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T02:00:00,2025-04-09T03:00:00,0.22,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498014542,1038403,229600,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b67,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T03:00:00,2025-04-09T04:00:00,0.24,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498024747,1038403,229601,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b68,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T04:00:00,2025-04-09T05:00:00,0.25,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498026290,1038403,229602,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b69,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T05:00:00,2025-04-09T06:00:00,0.25,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498032700,1038403,229603,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b6a,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T06:00:00,2025-04-09T07:00:00,0.25,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498046510,1038403,229604,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b6b,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T07:00:00,2025-04-09T08:00:00,0.24,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498048410,1038403,229605,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b6c,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T08:00:00,2025-04-09T09:00:00,0.24,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498060884,1038403,229606,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b6d,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T09:00:00,2025-04-09T10:00:00,0.27,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498079209,1038403,229607,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b6e,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T10:00:00,2025-04-09T11:00:00,0.3,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498097423,1038403,229608,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b6f,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T11:00:00,2025-04-09T12:00:00,0.45,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498109710,1038403,229609,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b70,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T12:00:00,2025-04-09T13:00:00,0.38,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498137576,1038403,229610,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b71,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T13:00:00,2025-04-09T14:00:00,0.28,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498138827,1038403,229611,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b72,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T14:00:00,2025-04-09T15:00:00,0.28,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498156395,1038403,229612,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b73,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T15:00:00,2025-04-09T16:00:00,0.29,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498158324,1038403,229613,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b74,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T16:00:00,2025-04-09T17:00:00,0.2,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498166765,1038403,229614,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b75,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T17:00:00,2025-04-09T18:00:00,0.23,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498175613,1038403,229615,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b76,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T18:00:00,2025-04-09T19:00:00,0.27,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498185345,1038403,229616,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b77,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T19:00:00,2025-04-09T20:00:00,0.24,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498194042,1038403,229617,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b78,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T20:00:00,2025-04-09T21:00:00,0.28,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498203311,1038403,229618,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b79,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T21:00:00,2025-04-09T22:00:00,0.3,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498214285,1038403,229619,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b7a,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T22:00:00,2025-04-09T23:00:00,0.34,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498223285,1038403,229620,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b7b,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-09T23:00:00,2025-04-10T00:00:00,0.33,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498235846,1038403,229621,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b7c,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-10T00:00:00,2025-04-10T01:00:00,0.29,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498242823,1038403,229622,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b7d,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-10T01:00:00,2025-04-10T02:00:00,0.28,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498251713,1038403,229623,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b7e,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-10T02:00:00,2025-04-10T03:00:00,0.28,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498255915,1038403,229624,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b7f,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-10T03:00:00,2025-04-10T04:00:00,0.27,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498269035,1038403,229625,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b80,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-10T04:00:00,2025-04-10T05:00:00,0.26,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498270553,1038403,229626,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b81,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-10T07:00:00,2025-04-10T08:00:00,0.26,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498294624,1038403,229627,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b82,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-10T05:00:00,2025-04-10T06:00:00,0.25,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498278047,1038403,229628,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b83,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-10T06:00:00,2025-04-10T07:00:00,0.25,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498286456,1038403,229629,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b84,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-10T11:00:00,2025-04-10T12:00:00,0.39,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498358764,1038403,229630,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b85,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-10T08:00:00,2025-04-10T09:00:00,0.33,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498313246,1038403,229631,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b86,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-10T09:00:00,2025-04-10T10:00:00,0.45,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498316176,1038403,229632,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b87,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-10T10:00:00,2025-04-10T11:00:00,0.65,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498340264,1038403,229633,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b88,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-10T15:00:00,2025-04-10T16:00:00,0.25,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498404750,1038403,229634,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b89,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-10T16:00:00,2025-04-10T17:00:00,0.25,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498407000,1038403,229635,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b8a,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-10T12:00:00,2025-04-10T13:00:00,0.41,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498369009,1038403,229636,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b8b,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-10T13:00:00,2025-04-10T14:00:00,0.31,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498377468,1038403,229637,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b8c,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-10T14:00:00,2025-04-10T15:00:00,0.25,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498387996,1038403,229638,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b8d,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-10T17:00:00,2025-04-10T18:00:00,0.27,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498437070,1038403,229639,0,6,Metodo Automatico,Infrared gas filter correlation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_b8e,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,10,Carbon monoxide (air),CO,SPO.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SPP.IT1598A_10_IR-GFC_2005-01-01_00:00:00,SAM.IT1598A_10_IR-GFC_2005-01-01_00:00:00,2025-04-10T18:00:00,2025-04-10T19:00:00,0.23,mg/m3,Miligrams per cubic metre of ambient air,hour,Hourly average/mean,498440200,1038403,229640,0,6,Metodo Automatico,Infrared gas filter correlation
